Date;Sell Date;Ticker;Buy Price;Sell Price;Confidence Score;Expected P/L (%);Actual P/L (%);Met Expectation;Is Profit;Deviation;Kazanma İhtimali (%);Eğim (Slope);R2;PD/DD (Price to Book);FD/FAVÖK (EV/EBITDA);F/K (Trailing PE);FAVÖK Marjı (EBITDA Margin);ROE;ROA;Ortalama Hacim (Avg Volume);Finansal Güven Skoru;Finansal x Küme Güveni
2025-06-18;2025-06-27;TERA.IS;64,24;58,44;0,5223664828553201;0,5993199742844838;-0,7079088098693289;False;False;-24,05;0,26171071194113243;0,4278732706094407;0,9467106671987859;-0,2205750782730471;;-0,4025808388891591;-0,35348137870921414;3,076137392144083;3,061842640512475;-0,3223736878663842;-25,839876362636897;-13,497885332966957
2025-06-19;2025-06-30;TERA.IS;65,25;60,64;1,1831593040519237;1,2526867116318816;-0,611113752439879;False;False;-25,19;0,5768411196965735;0,40969517026062546;0,9349528667841481;-0,2205750782730471;;-0,4025808388891591;-0,35348137870921414;3,076137392144083;3,061842640512475;-0,3223736878663842;-25,839876362636897;-30,572690134005224
2025-06-20;2025-07-01;TERA.IS;65,93;64,86;1,1617519830071201;1,2273132461038272;-0,34058397654731365;False;False;-19,62;0,5801600566367113;0,3612611672729026;0,9027410049112128;-0,2205750782730471;;-0,4025808388891591;-0,35348137870921414;3,076137392144083;3,061842640512475;-0,3223736878663842;-25,839876362636897;-30,019527604952223
2025-06-23;2025-07-02;TERA.IS;69,75;71,27;0,7472534171730318;0,7600185892954942;-0,15195771078735987;False;True;-13,61;0,5768610593256589;0,27944125483656346;0,8842341405332825;-0,2205750782730471;;-0,4025808388891591;-0,35348137870921414;3,076137392144083;3,061842640512475;-0,3223736878663842;-25,839876362636897;-19,308935911309074
2025-06-24;2025-07-03;GEDIK.IS;8,42;7,48;1,6975403575372165;1,5888851298786006;-0,816120720226355;False;False;-30,91;1,2071687106602038;0,4321476416636306;0,467594505493079;-0,22980210098210274;;-0,47094351976295196;-0,35348137870921414;0,8163537775392177;0,15825151967201104;-0,28538808622157036;-9,935136243660493;-16,86529473124439
2025-06-25;2025-07-04;ADESE.IS;1,86;2,09;2,0808909960927475;1,99697503378814;0,34144888964788755;False;True;-9,52;1,2099045766436012;0,29016302060185545;0,8630938376465155;-0,24190350364743182;-0,05662882197442836;-0,5180122814019167;-0,06386039889613579;-0,09770988951330645;-0,3606975227838457;3,969358274272116;76,54902978684088;159,29018684307272
2025-06-26;2025-07-07;ADESE.IS;1,82;2,2;0,6684755763616274;0,9841508681266407;0,7762820707155704;True;True;4,02;-0,36499986334121737;0,2661548628269459;0,8327437767849267;-0,24190350364743182;-0,05662882197442836;-0,5180122814019167;-0,06386039889613579;-0,09770988951330645;-0,3606975227838457;3,969358274272116;76,54902978684088;51,171156806681836
2025-06-27;2025-07-08;ADESE.IS;1,86;2,12;0,9507055146091211;1,2125120578791286;0,4213668601409206;False;True;-4,2;-0,052154729650622046;0,20073561749097404;0,765115955365582;-0,24190350364743182;-0,05662882197442836;-0,5180122814019167;-0,06386039889613579;-0,09770988951330645;-0,3606975227838457;3,969358274272116;76,54902978684088;72,77558475632749
2025-06-30;2025-07-09;GEDIK.IS;7,97;5,86;0,6547726896260078;0,7536752229134807;-1,574596862545327;False;False;-42,24;0,26116414771563645;1,0553437121633271;0,8176745205259217;-0,22980210098210274;;-0,47094351976295196;-0,35348137870921414;0,8163537775392177;0,15825151967201104;-0,28538808622157036;-9,935136243660493;-6,505255880062412
2025-07-01;2025-07-10;GEDIK.IS;8,76;6,44;0,9467707499440736;1,0941025520815424;-1,574596862545327;False;False;-43,84;0,26005150112053854;1,0586239895612934;0,8202837670985509;-0,22980210098210274;;-0,47094351976295196;-0,35348137870921414;0,8163537775392177;0,15825151967201104;-0,28538808622157036;-9,935136243660493;-9,406296392206992
2025-07-02;2025-07-11;GEDIK.IS;8,3;6,58;1,0173213555467422;1,0645001756321457;-1,289671924265818;False;False;-37,97;0,5790648939865889;0,9729350441716575;0,7399378129807143;-0,22980210098210274;;-0,47094351976295196;-0,35348137870921414;0,8163537775392177;0,15825151967201104;-0,28538808622157036;-9,935136243660493;-10,107226270942261
2025-07-03;2025-07-14;GEDIK.IS;7,48;6,39;0,9748093876621391;1,12581938399161;-0,9789349706717888;False;False;-32,0;0,26268421319166285;0,7588427304740868;0,4902100972565979;-0,22980210098210274;;-0,47094351976295196;-0,35348137870921414;0,8163537775392177;0,15825151967201104;-0,28538808622157036;-9,935136243660493;-9,68486407802261
2025-07-04;2025-07-16;GEDIK.IS;7,01;6,11;0,819124782942989;1,1723374041263759;-0,8915712265303365;False;False;-30,46;-0,3689465579939655;0,451736421051382;0,08577839705359652;-0,22980210098210274;;-0,47094351976295196;-0,35348137870921414;0,8163537775392177;0,15825151967201104;-0,28538808622157036;-9,935136243660493;-8,138116319097424
2025-07-07;2025-07-17;GEDIK.IS;6,31;6,31;-0,9935910308238665;-0,9146301355560875;-0,26016962114438597;False;False;-7,87;-1,3089038171139222;0,02943326946107979;-0,5773290964518936;-0,22980210098210274;;-0,47094351976295196;-0,35348137870921414;0,8163537775392177;0,15825151967201104;-0,28538808622157036;-9,935136243660493;9,871462261714186
2025-07-08;2025-07-18;TRHOL.IS;166,1;184,0;0,43205950641695884;0,800193243048247;0,27493331172200913;False;True;-5,21;-0,6802542618208325;-0,5923444532679024;-1,047694452212834;5,6158346996592785;1,6748666047958207;2,6524171730890758;-0,29602401208532136;1,7152921192656985;0,19740673369887654;-0,4929653931699577;-35,08990567132909;-15,160927324572093
2025-07-09;2025-07-21;KGYO.IS;3,48;3,69;-0,69974940943896;-0,7116424113316533;0,039150479522066975;False;True;-2,8;-0,36288469695380227;5,889572296837457;-0,19382655137650254;-0,19515326202775354;-0,09163467488209877;;-1,0389276604821687;-1,381428963421942;-1,029348100781086;-0,184443773988713;3,777004039476891;-2,6429563460725207
2025-07-10;2025-07-22;KGYO.IS;3,49;3,7;-0,7833700375304227;-0,6926123121856127;0,03865409461217233;False;True;-2,9;-0,9984444779296181;6,297065561307368;-0,0458184344306627;-0,19515326202775354;-0,09163467488209877;;-1,0389276604821687;-1,381428963421942;-1,029348100781086;-0,184443773988713;3,777004039476891;-2,9587917961575703
2025-07-11;2025-07-23;HUBVC.IS;2,17;2,71;-0,801860679872464;-0,650323202972189;0,9748360346734165;True;True;15,77;-1,315009927196397;-1,203341459431241;-1,072650556730563;-0,23588755900086608;-0,127015811877643;;-2,5703080204000015;-2,6507479228081943;-0,5222840089446106;-0,4367415267764126;0,9235488034808235;-0,7405574714545338
2025-07-14;2025-07-24;TRHOL.IS;159,0;145,6;-0,28582867617806046;0,2610071005770936;-0,6786221001855466;False;False;-21,85;-1,9459626544576696;0,0810322286845684;0,3050861648273102;5,6158346996592785;1,6748666047958207;2,6524171730890758;-0,29602401208532136;1,7152921192656985;0,19740673369887654;-0,4929653931699577;-35,08990567132909;10,02970128524901
2025-07-16;2025-07-25;TRHOL.IS;174,9;160,1;1,6444072766406665;1,4197286930249053;-0,6801112549152305;False;False;-27,38;1,5262262423409123;0,30326815707982585;0,6028579192039146;5,6158346996592785;1,6748666047958207;2,6524171730890758;-0,29602401208532136;1,7152921192656985;0,19740673369887654;-0,4929653931699577;-35,08990567132909;-57,70209622256815
2025-07-17;2025-07-28;TRHOL.IS;181,5;175,3;-0,012871574938405845;0,14048313931883577;-0,42993326032834434;False;False;-16,28;-0,36715751626441356;0,3855442198199389;0,6808932077543143;5,6158346996592785;1,6748666047958207;2,6524171730890758;-0,29602401208532136;1,7152921192656985;0,19740673369887654;-0,4929653931699577;-35,08990567132909;0,45166235043010466
2025-07-18;2025-07-29;MOPAS.IS;56,5;36,14;0,5245952656376199;0,6014344297451549;-2,049140836404579;False;False;-51,08;0,2632832606170448;-0,0960315407175172;0,8604791383742882;-0,23269047822733177;-0,07627160886468594;-0,2550546112941882;-0,2700351255938729;-0,0800596340726995;0,06838175608436153;-0,389879967434883;-6,8694780053544156;-3,603695639010687
2025-07-21;2025-07-30;TRHOL.IS;183,0;185,9;0,24599741785017015;0,36672987361065307;-0,1817408053810368;False;True;-12,34;-0,0533487381316005;0,3561578782291225;0,6723171402336112;5,6158346996592785;1,6748666047958207;2,6524171730890758;-0,29602401208532136;1,7152921192656985;0,19740673369887654;-0,4929653931699577;-35,08990567132909;-8,632026187752999
2025-07-22;2025-07-31;PEKGY.IS;3,22;5,39;0,5505702155942968;0,8382534413403283;3,0849682866354255;True;True;51,23;-0,3655746997631108;-0,3997502810928225;-1,3910032768623402;-0,23775381969257772;0,06251208513280386;-0,3873404837178926;-0,308164498286351;;;3,2924962839020715;60,49585429873504;33,307215543815715
2025-07-23;2025-08-01;PEKGY.IS;3,14;4,86;0,47517682271156936;0,7452174010707961;2,459026915258316;True;True;39,06;-0,3667231396603957;0,03918792304688957;-0,5587155368751671;-0,23775381969257772;0,06251208513280386;-0,3873404837178926;-0,308164498286351;;;3,2924962839020715;60,49585429873504;28,746227832894952
2025-07-24;2025-08-04;PEKGY.IS;3,45;5,34;0,953429582454154;0,7938498766662332;2,459026915258316;True;True;38,83;1,2097325317533825;0,4400078020154118;0,04394025267188031;-0,23775381969257772;0,06251208513280386;-0,3873404837178926;-0,308164498286351;;;3,2924962839020715;60,49585429873504;57,67853710425029
